Collection,Strain,organism,rep,endotrt,salttrt,ppt,m1,h1,plantdate,harvestdate,growdays,m2tot,m2root,m2shoot,h2,net change in weight,net change in height,status at harvest,weight change per growth day,height change per growth day
S2,812,bacteria,2,C,S,,0.3,8.7,9/25/2020,10/23/2020,28,0.23,0.13,0.11,8,-0.07,-0.7,DEAD,-0.0025,-0.025
S2,812,bacteria,5,C,F,,0.31,9.6,9/25/2020,10/23/2020,28,0.77,0.25,0.51,11.6,0.46,2,,0.01642857143,0.07142857143
S2,812,bacteria,6,C,S,,0.41,8.9,9/25/2020,10/23/2020,28,0.9,0.3,0.6,13.5,0.49,4.6,,0.0175,0.1642857143
S2,812,bacteria,7,C,F,,0.38,10.5,9/25/2020,10/23/2020,28,1.13,0.31,0.83,13.6,0.75,3.1,,0.02678571429,0.1107142857
S2,812,bacteria,8,C,S,,0.23,8.1,9/25/2020,10/23/2020,28,0.82,0.29,0.53,12.6,0.59,4.5,,0.02107142857,0.1607142857
S2,812,bacteria,10,C,S,,0.35,9.6,9/25/2020,10/23/2020,28,0.34,0.14,0.23,11.3,-0.01,1.7,,-0.0003571428571,0.06071428571
S2,812,bacteria,11,C,F,,0.22,8.8,9/25/2020,10/23/2020,28,0.74,0.25,0.47,12.5,0.52,3.7,,0.01857142857,0.1321428571
S2,812,bacteria,12,C,S,,0.25,7.8,9/25/2020,10/23/2020,28,0.68,0.23,0.43,11.9,0.43,4.1,,0.01535714286,0.1464285714
S2,812,bacteria,13,C,F,,0.42,9.4,9/25/2020,10/23/2020,28,1.41,0.43,0.98,15,0.99,5.6,,0.03535714286,0.2
S2,812,bacteria,1,E,S,,0.32,9.3,9/25/2020,10/23/2020,28,0.88,0.25,0.62,14.2,0.56,4.9,,0.02,0.175
S2,812,bacteria,3,E,F,,0.35,10.3,9/25/2020,10/23/2020,28,1.22,0.33,0.88,19,0.87,8.7,,0.03107142857,0.3107142857
S2,812,bacteria,4,E,S,,0.2,7.8,9/25/2020,10/23/2020,28,0.2,0.1,0.12,8.3,0,0.5,DEAD,0,0.01785714286
S2,812,bacteria,5,E,F,,0.28,8.4,9/25/2020,10/23/2020,28,0.72,0.2,0.51,13.4,0.44,5,,0.01571428571,0.1785714286
S2,812,bacteria,6,E,S,,0.43,9.4,9/25/2020,10/23/2020,28,1.13,0.38,0.75,15.3,0.7,5.9,,0.025,0.2107142857
S2,812,bacteria,7,E,F,,0.3,7.3,9/25/2020,10/23/2020,28,0.87,0.25,0.61,12.1,0.57,4.8,,0.02035714286,0.1714285714
